"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈"
"2020100000","2020年度","07212","福島県 南相馬市","","59,005",""
"2020100000","2020年度","07213","福島県 伊達市","","58,240",""
"2020100000","2020年度","07214","福島県 本宮市","","30,236",""
"2020100000","2020年度","07301","福島県 桑折町","","11,459",""
"2020100000","2020年度","07303","福島県 国見町","","8,639",""
"2020100000","2020年度","07308","福島県 川俣町","","12,170",""
"2020100000","2020年度","07322","福島県 大玉村","","8,900",""
"2020100000","2020年度","07342","福島県 鏡石町","","12,318",""
"2020100000","2020年度","07344","福島県 天栄村","","5,194",""
"2020100000","2020年度","07362","福島県 下郷町","","5,264",""
"2020100000","2020年度","07364","福島県 檜枝岐村","","504",""
"2020100000","2020年度","07367","福島県 只見町","","4,044",""
"2020100000","2020年度","07368","福島県 南会津町","","14,451",""
"2020100000","2020年度","07402","福島県 北塩原村","","2,556",""
"2020100000","2020年度","07405","福島県 西会津町","","5,770",""
"2020100000","2020年度","07407","福島県 磐梯町","","3,322",""
"2020100000","2020年度","07408","福島県 猪苗代町","","13,552",""
"2020100000","2020年度","07421","福島県 会津坂下町","","15,068",""
"2020100000","2020年度","07422","福島県 湯川村","","3,081",""
"2020100000","2020年度","07423","福島県 柳津町","","3,081",""
"2020100000","2020年度","07444","福島県 三島町","","1,452",""
"2020100000","2020年度","07445","福島県 金山町","","1,862",""
"2020100000","2020年度","07446","福島県 昭和村","","1,246",""
"2020100000","2020年度","07447","福島県 会津美里町","","19,014",""
"2020100000","2020年度","07461","福島県 西郷村","","20,808",""
"2020100000","2020年度","07464","福島県 泉崎村","","6,213",""
"2020100000","2020年度","07465","福島県 中島村","","4,885",""
"2020100000","2020年度","07466","福島県 矢吹町","","17,287",""
"2020100000","2020年度","07481","福島県 棚倉町","","13,343",""
"2020100000","2020年度","07482","福島県 矢祭町","","5,392",""
"2020100000","2020年度","07483","福島県 塙町","","8,302",""
